"x","y","z","var1.pred","var1.var","CU_original"
67,2,8,0,1.25753051497269e-06,0
68,2,8,0,1.29845467664013e-06,0
69,2,8,0,1.35527556412886e-06,0
70,2,8,0,1.38477490778925e-06,0
71,2,8,0,1.48137069082714e-06,0
72,2,8,0,1.57754771122024e-06,0
73,2,8,0,1.64312365157314e-06,0
74,2,8,0,1.77792702136194e-06,0
75,2,8,0,1.91539193092465e-06,0
76,2,8,0,2.00597505553307e-06,0
77,2,8,0,2.11123541324832e-06,0
0,3,8,-0.00317652380662565,5.82625327382745e-07,0.424812599770803
1,3,8,-0.00335692408841229,4.85163916528951e-07,0.45894362218533
2,3,8,-0.00355376023266911,4.30095908524772e-07,0.498213607856897
3,3,8,-0.0037769166254326,3.84258460026482e-07,0.545613333402585
4,3,8,-0.00396531348335362,3.41083323919531e-07,0.588329143295681
5,3,8,-0.00417898660913149,3.00384893717291e-07,0.64020756217063
6,3,8,-0.00423253860005121,2.93427291912359e-07,0.653844697873652
7,3,8,-0.00437752987688827,2.79850366561892e-07,0.6921801255438
8,3,8,-0.00439722381013713,2.81524845366716e-07,0.69755548425924
9,3,8,-0.00431602499167234,2.81524845366716e-07,0.675657445013158
10,3,8,-0.00414288105266921,2.75806055990098e-07,0.631163004116971
11,3,8,-0.00410433293609223,2.76144319478369e-07,0.621635657445637
12,3,8,-0.00402702245279039,2.83262445011701e-07,0.602915496337047
13,3,8,-0.00395263754311166,2.92148716345888e-07,0.585370670721019
14,3,8,-0.00392059921918926,3.01962581343841e-07,0.577949189335797
15,3,8,-0.00402888420001848,3.36693796130937e-07,0.603360389417844
16,3,8,-0.00408257950745973,3.7143869316481e-07,0.616316688354445
17,3,8,-0.00410317630950222,4.13138649699927e-07,0.62135181440155
18,3,8,-0.00415947697896013,4.71786815530923e-07,0.635305619939004
19,3,8,-0.00423876032052716,5.08680850306059e-07,0.655446693518869
20,3,8,-0.00425640441074931,5.72012594423205e-07,0.66001010914313
21,3,8,-0.00426085105344844,6.09859498647465e-07,0.661164953998167
22,3,8,-0.00446826925584539,6.37922213548453e-07,0.717302829752981
23,3,8,-0.00455182771757877,6.64271541942383e-07,0.741276024172635
24,3,8,-0.00438820575626422,7.11222618890954e-07,0.695088850997962
25,3,8,-0.00447519993709811,7.11633795086911e-07,0.719259864401565
26,3,8,-0.00440486439412231,6.76777429785566e-07,0.699652276228832
27,3,8,-0.00453644803809398,6.79808666770141e-07,0.736800482748052
28,3,8,-0.00472069290426625,6.780158416271e-07,0.792428489402113
29,3,8,-0.00483119890240458,6.6705105821016e-07,0.828083697144265
30,3,8,-0.00493380830102645,6.73398131614483e-07,0.86292991561902
31,3,8,-0.00507466264384507,6.73398131614484e-07,0.913831783751021
32,3,8,-0.00519677316567789,6.73398131614483e-07,0.961228690269394
33,3,8,-0.00529615197592277,6.73398131614484e-07,1.0023687324602
34,3,8,-0.00537805314007263,6.73398131614484e-07,1.03822762244123
35,3,8,-0.00544354184262387,6.73398131614483e-07,1.06831076370895
36,3,8,-0.0054725819345973,6.73398131614485e-07,1.08208422616062
37,3,8,-0.00546046528659009,6.73398131614485e-07,1.07630379600133
38,3,8,-0.00283652831894024,6.63137700699747e-07,0.364735149288819
39,3,8,-0.00228357903742611,6.78015841627101e-07,0.276959930794916
40,3,8,-0.00136234475545329,6.7725755041486e-07,0.15165954011367
41,3,8,-0.000472424601008552,6.76777429785566e-07,0.0489264900748907
42,3,8,-0.00127757852986954,7.12339634934367e-07,0.141191675456199
43,3,8,-0.000622196411068017,7.11222618890954e-07,0.0651861899275303
44,3,8,-0.000528475140320007,7.11222618890954e-07,0.0549669991506647
45,3,8,-0.000402216694036022,7.11222618890953e-07,0.0414336714666064
46,3,8,-0.000156099519013523,7.11222618890954e-07,0.0157880784755093
47,3,8,-0.000119592663980819,7.11222618890953e-07,0.0120634457035607
48,3,8,-8.81911436733627e-05,7.11222618890953e-07,0.0088755940027454
49,3,8,-8.54161769289952e-05,6.72297865566292e-07,0.00859458463095564
50,3,8,-2.63651294614152e-05,6.76777429785566e-07,0.00264153055854877
51,3,8,4.53506115576765e-06,6.75007518730547e-07,0
52,3,8,0,6.61423189896257e-07,0
53,3,8,0,6.87539756168433e-07,0
54,3,8,0,7.2232871741124e-07,0
55,3,8,0,7.55176484236673e-07,0
56,3,8,0,7.79369564003404e-07,0
57,3,8,0,8.07884979029131e-07,0
58,3,8,0,8.15589521300485e-07,0
59,3,8,0,8.58735709356208e-07,0
60,3,8,0,8.64245134626669e-07,0
61,3,8,0,8.92842444783262e-07,0
62,3,8,0,9.2791353337279e-07,0
63,3,8,0,9.49179468201013e-07,0
64,3,8,0,9.95167481708025e-07,0
65,3,8,0,1.0146894392186e-06,0
66,3,8,0,1.04632594336977e-06,0
67,3,8,0,1.07389828953656e-06,0
68,3,8,0,1.1131358060101e-06,0
69,3,8,0,1.17294165670687e-06,0
70,3,8,0,1.19739276803118e-06,0
71,3,8,0,1.30896038148242e-06,0
72,3,8,0,1.39589456283618e-06,0
73,3,8,0,1.49561459543674e-06,0
74,3,8,0,1.59857228946398e-06,0
75,3,8,0,1.70001391868707e-06,0
76,3,8,0,1.80830260250178e-06,0
77,3,8,0,1.9311161514583e-06,0
0,4,8,-0.00336684075524827,5.07156567154018e-07,0.460869582176556
1,4,8,-0.00334084252511675,4.39788838348447e-07,0.455831712258728
2,4,8,-0.00357922663469154,3.77858045038355e-07,0.503461311426591
3,4,8,-0.0038011290541373,3.35915868902737e-07,0.55095737279521
4,4,8,-0.00398033862087467,2.96231142807986e-07,0.591852401446502
5,4,8,-0.0042729601332288,2.62104993257982e-07,0.664319659059657
6,4,8,-0.00440651604580759,2.44765143554387e-07,0.700106375363205
7,4,8,-0.00467727725336035,2.30099610113405e-07,0.778910104982515
8,4,8,-0.00474150266642199,2.28859815198079e-07,0.799003310399783
9,4,8,-0.00469774075888769,2.28859815198079e-07,0.785248818774903
10,4,8,-0.00460021170731996,2.28859815198079e-07,0.755548499730722
11,4,8,-0.00435707861483216,2.24120187370867e-07,0.686642052121783
12,4,8,-0.00406450722646999,2.33672500133094e-07,0.611928765706267
13,4,8,-0.00394005776406553,2.39174348067064e-07,0.582447122278992
14,4,8,-0.00376643247055295,2.53387223148972e-07,0.543312093748099
15,4,8,-0.00383142101273955,2.71007901608625e-07,0.557702016343853
16,4,8,-0.00388425045368877,2.88492456207412e-07,0.56962469821994
17,4,8,-0.00396311474470626,3.20902939922897e-07,0.58781506395205
18,4,8,-0.00411362274487501,3.71437769476474e-07,0.623919676071253
19,4,8,-0.00409071337122844,4.11276079786009e-07,0.618300718504145
20,4,8,-0.00416365038326581,4.58142306843993e-07,0.63635129542223
21,4,8,-0.00415623476025207,4.93734372090249e-07,0.634494351790224
22,4,8,-0.00428595045724605,5.21924829029857e-07,0.667720066717749
23,4,8,-0.00419603977547328,5.81812117391494e-07,0.64452100976996
24,4,8,-0.00424232418855631,5.81812117391494e-07,0.6563660122508
25,4,8,-0.0043421337005174,5.82117852239e-07,0.68262300161652
26,4,8,-0.00444980269519542,5.82755236099382e-07,0.712115336152351
27,4,8,-0.00456451811252521,5.83852872161952e-07,0.744990982066867
28,4,8,-0.00457982867442027,5.50708629302625e-07,0.74949977663583
29,4,8,-0.00464659627967544,5.43637486745718e-07,0.76951439047383
30,4,8,-0.00478020518496657,5.43637486745717e-07,0.811400755887632
31,4,8,-0.00492461758197934,5.43637486745718e-07,0.859735832598091
32,4,8,-0.00504806276057429,5.43637486745717e-07,0.903926355187266
33,4,8,-0.00514589198178342,5.43637486745718e-07,0.941080973699655
34,4,8,-0.0052270970153981,5.43637486745718e-07,0.973523031485669
35,4,8,-0.00527559831440442,5.43637486745717e-07,0.993655833819147
36,4,8,-0.00528193756867302,5.43637486745718e-07,0.996331348903709
37,4,8,-0.00510992111973316,5.53578178482274e-07,0.927185250812542
38,4,8,-0.00520372716345091,5.43637486745717e-07,0.964028723569911
39,4,8,-0.0033352784379738,5.50708629302625e-07,0.454758271029206
40,4,8,-0.00310859922508919,5.83852872161951e-07,0.41238589692685
41,4,8,-0.00257830173728815,5.82755236099383e-07,0.322356080416895
42,4,8,-0.00191790012819102,5.82117852239001e-07,0.224480386498101
43,4,8,-0.00112545802764295,5.81812117391494e-07,0.122793460999077
44,4,8,-0.000840725801093083,5.81812117391494e-07,0.0896155215495895
45,4,8,-0.000538235318594156,5.81812117391494e-07,0.0560242387404628
46,4,8,-0.000155622994066644,5.81812117391494e-07,0.0157393318240224
47,4,8,-0.00012106095282825,5.81812117391495e-07,0.0122128637205492
48,4,8,-9.01255348175387e-05,5.81812117391494e-07,0.00907154905902985
49,4,8,-6.18617297560642e-05,5.82117852239e-07,0.00621389177645426
50,4,8,-2.75449168260829e-05,5.8288954329116e-07,0.00275996902317388
51,4,8,-3.55210510408996e-06,5.51251496252167e-07,0.000355301387159557
52,4,8,0,5.48953375438109e-07,0
53,4,8,0,5.65860866444157e-07,0
54,4,8,0,5.95868670290316e-07,0
55,4,8,0,6.0455893318948e-07,0
56,4,8,0,6.25054055145766e-07,0
57,4,8,0,6.53226673136627e-07,0
58,4,8,0,6.66422686297912e-07,0
59,4,8,0,6.97225303643898e-07,0
60,4,8,0,7.1231511224657e-07,0
61,4,8,0,7.55176484236673e-07,0
62,4,8,0,7.79369564003404e-07,0
63,4,8,0,8.0788497902913e-07,0
64,4,8,0,8.15589521300486e-07,0
65,4,8,0,8.58735709356208e-07,0
66,4,8,0,8.57269086200059e-07,0
67,4,8,0,9.11565311062702e-07,0
68,4,8,0,9.40435994110763e-07,0
69,4,8,0,9.93625234949316e-07,0
70,4,8,0,1.03347615735119e-06,0
71,4,8,0,1.13986041829641e-06,0
72,4,8,0,1.21285177691307e-06,0
73,4,8,0,1.31153544081329e-06,0
74,4,8,0,1.41063283684047e-06,0
75,4,8,0,1.50663891045675e-06,0
76,4,8,0,1.69288272646022e-06,0
77,4,8,0,1.80162444405167e-06,0
0,5,8,-0.00328236230057227,4.32915266026154e-07,0.444631973483382
1,5,8,-0.00342129674592144,3.76701443880921e-07,0.471542445191872
2,5,8,-0.00356762176861157,3.39653592563623e-07,0.501065024781965
3,5,8,-0.00376890580962627,2.99733401515421e-07,0.543854293383788
4,5,8,-0.00422636213510046,2.59764435046939e-07,0.652258025772497
5,5,8,-0.00463780486234505,2.12589643136669e-07,0.766845560933959
6,5,8,-0.00480034615866324,1.92135072813584e-07,0.817941812624412
7,5,8,-0.00490794117257386,1.78517725076419e-07,0.853977790001764
8,5,8,-0.0049902996227838,1.80098421010335e-07,0.882894887954677
9,5,8,-0.00496052202390756,1.82517163334636e-07,0.872298863005014
10,5,8,-0.00483009790912625,1.80098421010335e-07,0.827719198274764
11,5,8,-0.00475612089448726,1.73987889270837e-07,0.803659734796909
12,5,8,-0.00458515199129278,1.82533652211901e-07,0.751074371717536
13,5,8,-0.00449708084179362,1.95450446665041e-07,0.725475141638768
14,5,8,-0.0039731707636934,2.18657574838371e-07,0.590169360995631
15,5,8,-0.00386503701136088,2.21751958133368e-07,0.565264703081084
16,5,8,-0.00383661349232274,2.24154988445915e-07,0.55886478823939
17,5,8,-0.00396690292273453,2.6370663354172e-07,0.588701003054226
18,5,8,-0.00396052862237931,2.91620985598345e-07,0.587210901305497
19,5,8,-0.00401767768279966,3.23927681263106e-07,0.600686741615647
20,5,8,-0.00400511006787212,3.5766037165299e-07,0.597700631088912
21,5,8,-0.00398788492648633,3.85676551475848e-07,0.593628748218819
22,5,8,-0.00408213620067742,4.12105997893007e-07,0.616208719700765
23,5,8,-0.00409728669033459,4.67276167139393e-07,0.61990827478499
24,5,8,-0.00414731975538703,4.67276167139393e-07,0.632268543220917
25,5,8,-0.00423251497431256,4.67276167139393e-07,0.65383862169989
26,5,8,-0.00434095473509127,4.67276167139393e-07,0.682306943588102
27,5,8,-0.00436318968121565,4.40583835160527e-07,0.688292236659763
28,5,8,-0.00448048270809667,4.43063415264986e-07,0.720755314130656
29,5,8,-0.00460720131768871,4.43063415264986e-07,0.757634970163977
30,5,8,-0.00472506683897807,4.43063415264988e-07,0.793805230459341
31,5,8,-0.00484799243997974,4.43063415264986e-07,0.833667474151525
32,5,8,-0.00496160792803916,4.43063415264988e-07,0.872682417862265
33,5,8,-0.005050513450415,4.43063415264986e-07,0.90483301840122
34,5,8,-0.00512121899778219,4.43063415264986e-07,0.931519520095847
35,5,8,-0.00515517299133989,4.43063415264988e-07,0.944712296360933
36,5,8,-0.00513354851193553,4.43063415264986e-07,0.93628093159235
37,5,8,-0.00512529718496956,4.43063415264986e-07,0.933090789840492
38,5,8,-0.00505393208727493,4.43063415264988e-07,0.906099784424512
39,5,8,-0.00418832520666646,4.43063415264986e-07,0.642566337030559
40,5,8,-0.00316425746971261,4.40583835160526e-07,0.422551906115828
41,5,8,-0.0032623371555418,4.67276167139393e-07,0.440838218014932
42,5,8,-0.00251226787837554,4.67276167139393e-07,0.311923018683387
43,5,8,-0.00199501758175881,4.67276167139393e-07,0.235221739881297
44,5,8,-0.00174636635879402,4.67276167139393e-07,0.201168989795903
45,5,8,-0.00107330067899097,4.67276167139393e-07,0.116595996023563
46,5,8,-0.000485154457613927,4.67276167139393e-07,0.0502937671232502
47,5,8,-0.000143309763284353,4.67276167139393e-07,0.0144809214015282
48,5,8,-9.5838605744683e-05,4.67276167139393e-07,0.00965060983389776
49,5,8,-7.80754020657635e-05,4.67276167139393e-07,0.00785176266575149
50,5,8,-4.24079928820548e-05,4.67276167139393e-07,0.00425380118498708
51,5,8,-8.70175358585456e-06,4.41865295625245e-07,0.000870721003735753
52,5,8,-3.62989869391322e-06,4.33844209915861e-07,0.000363084770953037
53,5,8,0,4.28176328269343e-07,0
54,5,8,0,4.61205347291743e-07,0
55,5,8,0,4.81273939955961e-07,0
56,5,8,0,5.01108267973438e-07,0
57,5,8,0,5.25680178335451e-07,0
58,5,8,0,5.3260287467018e-07,0
59,5,8,0,5.49008690797654e-07,0
60,5,8,0,5.95868670290316e-07,0
61,5,8,0,6.10772933489135e-07,0
62,5,8,0,6.34700352008434e-07,0
63,5,8,0,6.53226673136628e-07,0
64,5,8,0,6.6642268629791e-07,0
65,5,8,0,6.95237192482632e-07,0
66,5,8,0,7.24065835109411e-07,0
67,5,8,0,7.49410214863617e-07,0
68,5,8,0,7.90309785881334e-07,0
69,5,8,0,8.50523619410099e-07,0
70,5,8,0,9.07009391499782e-07,0
71,5,8,0,9.82052972189006e-07,0
72,5,8,0,1.06060810593298e-06,0
73,5,8,0,1.15483979488551e-06,0
74,5,8,0,1.26478084987616e-06,0
75,5,8,0,1.40170557428712e-06,0
76,5,8,0,1.52228030147434e-06,0
77,5,8,0,1.64667537993753e-06,0
0,6,8,-0.00299482628720145,4.00188569757087e-07,0.392058856309788
1,6,8,-0.00334155929665269,3.48443996641609e-07,0.455970115356379
2,6,8,-0.00378985625597711,2.932199748143e-07,0.548464154995514
3,6,8,-0.00407782365827601,2.63424503487157e-07,0.615159267922124
4,6,8,-0.0047330046722631,2.11269881708666e-07,0.796310794215913
5,6,8,-0.0049292076431083,1.67381141899759e-07,0.861329180401455
6,6,8,-0.00504191598516137,1.47073605560343e-07,0.90165752067648
7,6,8,-0.00510701461434993,1.43443203049501e-07,0.926074613451249
8,6,8,-0.00507443308960617,1.46898206213765e-07,0.913745688093769
9,6,8,-0.00498904766396019,1.45116302918883e-07,0.882446092216099
10,6,8,-0.00496981650674938,1.46898206213765e-07,0.875588724474937
11,6,8,-0.00495463236215689,1.43443203049502e-07,0.870222275845961
12,6,8,-0.00490517916460209,1.45372689769254e-07,0.853028753022585
13,6,8,-0.00474841608281634,1.51320701631031e-07,0.801201556538132
14,6,8,-0.00424009412809228,1.68050787574284e-07,0.65579061285122
15,6,8,-0.00405996199793654,1.75920000496711e-07,0.610829567425213
16,6,8,-0.00395387790254021,1.96443826603509e-07,0.585659602676998
17,6,8,-0.00392713652106171,2.07977888381975e-07,0.579457050695638
18,6,8,-0.00387279966494237,2.2637659673548e-07,0.567022923980247
19,6,8,-0.00391913550563002,2.54301068908731e-07,0.577612027220212
20,6,8,-0.00395866146118081,2.87695772018372e-07,0.586775028779343
21,6,8,-0.0039739221806265,3.1804851403579e-07,0.590345604179973
22,6,8,-0.00392276993784548,3.30440904503425e-07,0.578449511341546
23,6,8,-0.00400011949113861,3.66353250103723e-07,0.596518426088565
24,6,8,-0.00404997935180183,3.66353250103723e-07,0.608421534615573
25,6,8,-0.0041306559477698,3.66353250103723e-07,0.628127245945578
26,6,8,-0.00423507461878651,3.66353250103723e-07,0.654497233954075
27,6,8,-0.0043481821622848,3.66353250103723e-07,0.684246759741967
28,6,8,-0.00447294010576758,3.66353250103723e-07,0.718621139346496
29,6,8,-0.00461468809921,3.66353250103723e-07,0.759876880221441
30,6,8,-0.00475346171804492,3.66353250103723e-07,0.802810347367711
